STNID,LATITUDE,LONGITUDE
722265-13821,32.383,-86.35000000000001
722267-03878,31.857,-86.01
722268-93843,31.317,-85.45
722269-03850,31.267,-85.717
722270-13864,33.917,-84.517
722275-99999,31.309,-86.394
722276-99999,31.417,-87.05
722280-13876,33.565,-86.745
722284-99999,32.616,-85.433
722285-99999,33.967,-86.083
722286-93806,33.212,-87.616
722287-13871,33.59,-85.848
722288-99999,32.6,-85.5
722290-03881,32.9,-87.25
722293-99999,29.784,-93.3
722295-99999,28.533,-90.583
722307-99999,29.286,-89.364
722308-99999,29.1,-90.2
722309-99999,29.25,-89.967
722310-12916,29.998,-90.278
722314-03934,30.033,-91.883
722315-53917,30.049,-90.029
722316-12958,29.817,-90.017
722317-13970,30.537,-91.147
722328-99999,29.7,-91.10000000000001
722329-99999,29.717000000000002,-91.333
722340-13865,32.335,-88.751
722345-03866,32.55,-88.56700000000001
722348-99999,31.467000000000002,-89.333
722350-03940,32.32,-90.078
722356-13939,33.483000000000004,-90.985
722357-99999,31.617,-91.3
722358-93919,31.182000000000002,-90.47200000000001
722359-13978,33.496,-90.087
722390-03931,31.05,-93.183
722398-99999,28.3,-91.98
722400-03937,30.126,-93.22800000000001
722403-99999,29.560000000000002,-91.533
722404-13941,30.21,-93.143
722405-13976,30.199,-91.99
722406-99999,29.567,-90.66
722408-99999,29.767,-92.117
722410-12917,29.952,-94.026
722420-12923,29.27,-94.864
722429-99999,30.067,-95.55
722430-12960,29.984,-95.361
722435-12918,29.638,-95.282
722436-12906,29.617,-95.167
722445-03904,30.589000000000002,-96.36500000000001
722446-93987,31.236,-94.755
722448-99999,32.35,-95.4
722453-99999,29.7,-93.95
722470-03901,32.391,-94.714
722480-13957,32.447,-93.824
722485-13944,32.5,-93.667
722486-13942,32.516,-92.03
722487-13935,31.396,-92.283
722499-99999,31.578,-94.71000000000001
722500-12919,25.915,-97.423
722505-12904,26.23,-97.656
722506-12959,26.179000000000002,-98.245
